Divisão Territorial,Partes
Regionalização segundo a Lei Complementar 5.120/95,"Metropolitana, Polo Linhares, Metrópole Expandida Sul, Sudeste Serrano, Central Serrana, Litoral norte, Extremo Norte, Polo Colatina, Noroeste 1, Noroeste 2, Polo Cachoeiro, Caparaó"
Regionalização BANDES,"Norte, Sul"
Regionalização Macro - SESA,"Norte, Centro, Sul"
Regionalização Micro - SESA ,"Cachoeiro Itapemerim, Colatina, Guaçuí, Linhares, Serra, São Mateus, Vila Velha, Vitoria"
Regionalização - SECULT,"Caparaó, Centro-Norte, Metropolitana, Norte, Serrana, Sul"
Regionalização - SEDURB,"Doce Oeste, Doce Leste, Metropolitana, Litoral Sul, Norte, Sul Serrana"
Regionalização - SEFAZ,"Metropolitana, Nordeste, Noroeste, Sul"
Regionalização - SETUR,"Caparaó, Doce Pontões, Doce Terra Morena, Metropolitana,. Montanhas Capixabas, Pedrão Pao de Mel, Verde e das Águas, Da costa e da Imigração, Dos imigrantes, Dos Vales e do Café"
Conselhos Regionais de Meio Ambiente - CONREMAS,"CONREMA I, CONREMA II, CONREMA III, CONREMA IV, CONREMA V"
Regionalização Geral - SETADES,"Central, Extremo Norte, Extremo Sul, Norte, Serrana, Sul Praiano"
Regiões,"Sul, Centro, Litoral Norte, Noroeste"